no,id_user,kategori
464,12072,Toko Kelontong
465,12129,Olshop
466,12131,Counter pulsa
467,12141,Counter pulsa
468,12149,Minimarket
469,12146,Bengkel
470,12174,Toko Kelontong
471,12178,Olshop
472,12200,Cafe
473,12207,Minimarket
474,12156,Warung
475,1688,Kaki Lima
476,12267,Minimarket
477,12319,Olshop
478,12346,Cafe
479,12365,Olshop
480,12352,Cafe
481,12376,Toko Kelontong
482,12380,Toko Kelontong
483,12427,Toko Kelontong
484,12008,Bengkel
485,12405,Olshop
486,12488,Olshop
487,11315,Olshop
488,12579,Olshop
489,12611,Counter pulsa
490,12621,Olshop
491,12630,Toko Kelontong
492,12680,Toko Kelontong
493,12692,Butik
494,12628,Toko Kelontong
495,12719,Olshop
496,12679,Cafe
497,12299,Olshop
498,12782,Cafe
499,12794,Cafe
500,12683,Olshop
501,12789,Olshop
502,12806,Bengkel
503,12818,Toko Kelontong
504,12826,Warung
505,12830,Toko Kelontong
506,12849,Cafe
507,12862,Minimarket
508,12877,Toko Kelontong
509,12883,Warung
510,12884,Olshop
511,12524,Counter pulsa
512,12897,Butik
513,12914,Kaki Lima
514,12920,Olshop
515,12934,Toko Kelontong
516,12937,Warung
517,12944,Butik
518,12950,Toko Kelontong
519,12953,Cafe
520,12957,Bengkel
521,12954,Toko Kelontong
522,12958,Butik
523,12964,Olshop
524,12967,Toko Kelontong
525,12969,Cafe
526,12974,Counter pulsa
527,12973,Warung
528,12956,Cafe
529,12948,Cafe
530,12986,Toko Kelontong
531,12988,Counter pulsa
532,12991,Toko Kelontong
533,12940,Toko Kelontong
534,12993,Toko Kelontong
535,12995,Toko Kelontong
536,13000,Toko Kelontong
537,12941,Olshop
538,13005,Toko Kelontong
539,13007,Counter pulsa
540,13006,Toko Kelontong
541,13008,Counter pulsa
542,13010,Toko Kelontong
543,13012,Toko Kelontong
544,12428,Counter pulsa
545,13017,Butik
546,13023,Butik
547,12984,Olshop
548,13026,Toko Kelontong
549,13028,Toko Kelontong
550,11954,Cafe
551,13030,Counter pulsa
552,13014,Toko Kelontong
553,13037,Counter pulsa
554,13038,Cafe
555,13042,Toko Kelontong
556,13041,Counter pulsa
557,12947,Toko Kelontong
558,13046,Toko Kelontong
559,13052,Cafe
560,13027,Warung
561,13055,Toko Kelontong
562,13058,Restoran
563,13060,Toko Kelontong
564,13033,Toko Kelontong
565,12971,Olshop
566,13067,Butik
567,13068,Toko Kelontong
568,13069,Kaki Lima
569,13070,Toko Kelontong
570,13075,Olshop
571,13083,Restoran
572,13079,Restoran
573,13084,Warung
574,13085,Counter pulsa
575,13086,Olshop
576,13089,Counter pulsa
577,13073,Cafe
578,13098,Cafe
579,12994,Counter pulsa
580,13104,Restoran
581,13100,Bengkel
582,13105,Toko Kelontong
583,13106,Cafe
584,12985,Butik
585,13108,Bengkel
586,13121,Warung
587,13102,Cafe
588,13125,Warung
589,13133,Cafe
590,13009,Cafe
591,13131,Counter pulsa
592,13139,Toko Kelontong
593,13144,Olshop
594,13132,Cafe
595,13078,Toko Kelontong
596,13138,Counter pulsa
597,13147,Olshop
598,13150,Kaki Lima
599,13152,Toko Kelontong
600,13036,Olshop
601,13154,Toko Kelontong
602,13157,Cafe
603,13160,Warung
604,13122,Minimarket
605,13044,Butik
606,13172,Kaki Lima
607,13174,Toko Kelontong
608,13177,Minimarket
609,13169,Cafe
610,13180,Cafe
611,13182,Olshop
612,13156,Toko Kelontong
613,13187,Counter pulsa
614,13189,Toko Kelontong
615,13188,Toko Kelontong
616,13190,Counter pulsa
617,12832,Bengkel
618,13193,Cafe
619,13199,Toko Kelontong
620,13196,Warung
621,13198,Counter pulsa
622,13208,Olshop
623,13211,Warung
624,13215,Olshop
625,13217,Olshop
626,13219,Counter pulsa
627,13047,Olshop
628,13221,Butik
629,13220,Cafe
630,13096,Olshop
631,13227,Cafe
632,13224,Olshop
633,13229,Minimarket
634,13230,Toko Kelontong
635,13234,Toko Kelontong
636,13237,Counter pulsa
637,13239,Olshop
638,13240,Cafe
639,13246,Warung
640,13191,Counter pulsa
641,13252,Cafe
642,13260,Cafe
643,13261,Butik
644,13103,Olshop
645,13264,Counter pulsa
646,13262,Counter pulsa
647,13266,Counter pulsa
648,13268,Butik
649,13269,Toko Kelontong
650,13270,Toko Kelontong
651,13273,Cafe
652,13267,Counter pulsa
653,13279,Warung
654,13204,Toko Kelontong
655,13284,Cafe
656,13286,Toko Kelontong
657,13163,Olshop
658,13290,Butik
659,13287,Cafe
660,13292,Toko Kelontong
661,13291,Olshop
662,13297,Toko Kelontong
663,13299,Toko Kelontong
664,13300,Kaki Lima
665,13303,Toko Kelontong
666,13306,Warung
667,13307,Minimarket
668,13308,Warung
669,13294,Cafe
670,13315,Counter pulsa
671,13314,Cafe
672,13317,Cafe
673,12039,Olshop
674,13318,Cafe
675,13323,Toko Kelontong
676,13319,Olshop
677,13325,Counter pulsa
678,13328,Cafe
679,13329,Toko Kelontong
680,13336,Toko Kelontong
681,13340,Restoran
682,13265,Cafe
683,13345,Toko Kelontong
684,13349,Cafe
685,13350,Counter pulsa
686,13355,Warung
687,13356,Cafe
688,13255,Cafe
689,13363,Olshop
690,13368,Toko Kelontong
691,13372,Kaki Lima
692,13369,Minimarket
693,13377,Cafe
694,13380,Olshop
695,13381,Butik
696,13387,Counter pulsa
697,13388,Olshop
698,13389,Toko Kelontong
699,1308,Toko Kelontong
700,13395,Cafe
701,13396,Cafe
702,13403,Warung
703,13402,Restoran
704,13404,Olshop
705,13405,Olshop
706,13411,Bengkel
707,13413,Toko Kelontong
708,13417,Cafe
709,13424,Toko Kelontong
710,13419,Warung
711,13427,Olshop
712,13431,Toko Kelontong
713,13434,Counter pulsa
714,13432,Cafe
715,13421,Toko Kelontong
716,11483,Toko Kelontong
717,13445,Cafe
718,13447,Cafe
719,13446,Olshop
720,13441,Toko Kelontong
721,13453,Cafe
722,13452,Toko Kelontong
723,13460,Toko Kelontong
724,13461,Toko Kelontong
725,13464,Toko Kelontong
726,13451,Toko Kelontong
727,13475,Cafe
728,13478,Counter pulsa
729,13480,Cafe
730,13485,Butik
731,13449,Olshop
732,13490,Counter pulsa
733,13491,Olshop
734,13487,Cafe
735,13488,Cafe
736,13241,Olshop
737,13493,Counter pulsa
738,8584,Toko Kelontong
739,13501,Toko Kelontong
740,13502,Olshop
741,13503,Cafe
742,13507,Olshop
743,13514,Cafe
744,13499,Restoran
745,13516,Cafe
746,13518,Bengkel
747,13463,Cafe
748,13519,Cafe
749,13521,Warung
750,13522,Toko Kelontong
751,13517,Toko Kelontong
752,13530,Toko Kelontong
753,13541,Kaki Lima
754,13540,Cafe
755,13545,Kaki Lima
756,13539,Toko Kelontong
757,13560,Toko Kelontong
758,13564,Minimarket
759,13565,Minimarket
760,13554,Toko Kelontong
761,13568,Restoran
762,13569,Counter pulsa
763,13379,Restoran
764,13562,Toko Kelontong
765,13580,Kaki Lima
766,13583,Cafe
767,13585,Toko Kelontong
768,13586,Bengkel
769,13596,Toko Kelontong
770,13599,Cafe
771,13509,Counter pulsa
772,13603,Toko Kelontong
773,13595,Cafe
774,13604,Toko Kelontong
775,13605,Kaki Lima
776,13520,Butik
777,13610,Toko Kelontong
778,13616,Toko Kelontong
779,13611,Counter pulsa
780,13439,Toko Kelontong
781,13619,Olshop
782,13627,Olshop
783,13626,Toko Kelontong
784,13615,Cafe
785,13628,Toko Kelontong
786,13630,Cafe
787,13633,Counter pulsa
788,13636,Toko Kelontong
789,13641,Minimarket
790,13646,Toko Kelontong
791,13275,Counter pulsa
792,13647,Butik
793,13650,Minimarket
794,13653,Cafe
795,13654,Cafe
796,13659,Counter pulsa
797,13665,Counter pulsa
798,13663,Toko Kelontong
799,13668,Olshop
800,13670,Toko Kelontong
801,13618,Counter pulsa
802,13677,Warung
803,13680,Cafe
804,13682,Olshop
805,13686,Toko Kelontong
806,13051,Restoran
807,13692,Cafe
808,13693,Cafe
809,13681,Toko Kelontong
810,13696,Restoran
811,13671,Cafe
812,13698,Toko Kelontong
813,13685,Cafe
814,13713,Butik
815,13714,Minimarket
816,13717,Counter pulsa
817,13719,Toko Kelontong
818,13720,Restoran
819,13721,Toko Kelontong
820,13724,Minimarket
821,13723,Toko Kelontong
822,13722,Bengkel
823,13728,Counter pulsa
824,13731,Toko Kelontong
825,13733,Toko Kelontong
826,13734,Toko Kelontong
827,13739,Counter pulsa
828,13740,Olshop
829,13748,Toko Kelontong
830,13747,Olshop
831,13745,Counter pulsa
832,13750,Warung
833,13576,Olshop
834,13754,Toko Kelontong
835,13753,Warung
836,13652,Counter pulsa
837,13763,Cafe
838,13767,Cafe
839,13768,Cafe
840,13773,Olshop
841,13777,Cafe
842,13776,Cafe
843,13699,Cafe
844,13779,Toko Kelontong
845,13782,Olshop
846,13784,Counter pulsa
847,13785,Butik
848,13786,Butik
849,13788,Olshop
850,13789,Olshop
851,13792,Toko Kelontong
852,13793,Toko Kelontong
853,11121,Olshop
854,13800,Toko Kelontong
855,13805,Toko Kelontong
856,13760,Counter pulsa
857,13812,Restoran
858,13813,Counter pulsa
859,13815,Olshop
860,13817,Toko Kelontong
861,13816,Warung
862,13819,Counter pulsa
863,13821,Counter pulsa
864,13820,Counter pulsa
865,13825,Toko Kelontong
866,13824,Kaki Lima
867,13826,Toko Kelontong
868,13833,Minimarket
869,13810,Warung
870,13834,Toko Kelontong
871,13836,Cafe
872,13839,Cafe
873,13697,Cafe
874,13842,Counter pulsa
875,13841,Olshop
876,13846,Toko Kelontong
877,13847,Olshop
878,13843,Toko Kelontong
879,13848,Toko Kelontong
880,13849,Toko Kelontong
881,13850,Olshop
882,13856,Restoran
883,13852,Restoran
884,13835,Butik
885,13016,Toko Kelontong
886,13866,Warung
887,13867,Butik
888,13868,Olshop
889,13854,Restoran
890,13872,Kaki Lima
891,13873,Toko Kelontong
892,13877,Restoran
893,13864,Counter pulsa
894,13881,Cafe
895,13885,Restoran
896,13886,Cafe
897,13892,Cafe
898,13896,Cafe
899,13898,Toko Kelontong
900,13900,Kaki Lima
901,13903,Cafe
902,13905,Toko Kelontong
903,13907,Counter pulsa
904,13894,Toko Kelontong
905,13910,Cafe
906,13915,Toko Kelontong
907,13107,Toko Kelontong
908,13919,Warung
909,13918,Toko Kelontong
910,13923,Toko Kelontong
911,13932,Cafe
912,13933,Counter pulsa
913,13938,Olshop
914,13845,Olshop
915,13940,Olshop
916,13957,Kaki Lima
917,13874,Cafe
918,13934,Olshop
919,13975,Olshop
920,13977,Counter pulsa
921,13984,Restoran
922,13986,Restoran
923,13988,Olshop
924,13987,Cafe
925,13991,Minimarket
926,13953,Olshop
927,13994,Bengkel
928,13995,Olshop
929,13992,Cafe
930,13374,Olshop
931,13990,Counter pulsa
932,13996,Restoran
933,14001,Minimarket
934,14006,Counter pulsa
935,14009,Restoran
936,14008,Toko Kelontong
937,14013,Toko Kelontong
938,14016,Restoran
939,14019,Restoran
940,13947,Olshop
941,14024,Butik
942,14029,Toko Kelontong
943,14034,Cafe
944,14033,Cafe
945,14039,Toko Kelontong
946,14038,Counter pulsa
947,14036,Olshop
948,14043,Warung
949,14045,Cafe
950,14049,Warung
951,14046,Toko Kelontong
952,14057,Toko Kelontong
953,14056,Minimarket
954,14061,Toko Kelontong
955,14063,Toko Kelontong
956,14065,Cafe
957,14067,Olshop
958,14062,Bengkel
959,14069,Cafe
960,14074,Toko Kelontong
961,14072,Warung
962,7341,Warung
963,14078,Cafe
964,14088,Olshop
965,14031,Olshop
966,14097,Butik
967,14094,Counter pulsa
968,14095,Butik
969,14108,Cafe
970,14109,Toko Kelontong
971,13690,Olshop
972,14112,Counter pulsa
973,14092,Counter pulsa
974,14111,Olshop
975,14030,Counter pulsa
976,14124,Butik
977,14130,Warung
978,14149,Olshop
979,14154,Cafe
980,14146,Warung
981,14158,Toko Kelontong
982,14150,Butik
983,14159,Olshop
984,14156,Warung
985,14161,Cafe
986,14163,Toko Kelontong
987,14165,Warung
988,14126,Bengkel
989,13958,Butik
990,13263,Toko Kelontong
991,14172,Counter pulsa
992,14178,Counter pulsa
993,14179,Counter pulsa
994,13408,Toko Kelontong
995,14050,Cafe
996,14183,Counter pulsa
997,14186,Cafe
998,14188,Cafe
999,14194,Counter pulsa
1000,14195,Minimarket
1001,14157,Minimarket
1002,14193,Toko Kelontong
1003,14199,Toko Kelontong
1004,14121,Butik
1005,14207,Minimarket
1006,14208,Cafe
1007,14211,Cafe
1008,14212,Warung
1009,14196,Cafe
1010,14221,Counter pulsa
1011,14209,Butik
1012,14222,Warung
1013,14132,Toko Kelontong
1014,14225,Toko Kelontong
1015,14223,Warung
1016,14206,Toko Kelontong
1017,14226,Cafe
1018,14227,Bengkel
1019,5593,Cafe
1020,14229,Butik
1021,14228,Toko Kelontong
1022,14236,Cafe
1023,14238,Counter pulsa
1024,14184,Cafe
1025,13808,Toko Kelontong
1026,14251,Warung
1027,14189,Toko Kelontong
1028,14203,Toko Kelontong
1029,14254,Cafe
1030,14256,Toko Kelontong
1031,14257,Toko Kelontong
1032,14259,Restoran
1033,14264,Cafe
1034,14240,Butik
1035,14261,Cafe
1036,14274,Counter pulsa
1037,14272,Cafe
1038,14277,Toko Kelontong
1039,14115,Restoran
1040,14279,Kaki Lima
1041,14284,Toko Kelontong
1042,14283,Toko Kelontong
1043,14285,Cafe
1044,14290,Cafe
1045,14177,Warung
1046,14289,Toko Kelontong
1047,14293,Olshop
1048,14297,Cafe
1049,14288,Cafe
1050,14300,Butik
1051,14299,Toko Kelontong
1052,13175,Toko Kelontong
1053,14235,Cafe
1054,14303,Cafe
1055,14101,Toko Kelontong
1056,14296,Kaki Lima
1057,14282,Olshop
1058,14263,Kaki Lima
1059,13197,Restoran
1060,14307,Toko Kelontong
1061,14313,Cafe
1062,14314,Warung
1063,14310,Minimarket
1064,14316,Toko Kelontong
1065,14317,Toko Kelontong
1066,14308,Toko Kelontong
1067,14321,Olshop
1068,14324,Minimarket
1069,14323,Counter pulsa
1070,14325,Kaki Lima
1071,13758,Counter pulsa
1072,14327,Toko Kelontong
1073,14334,Toko Kelontong
1074,14332,Minimarket
1075,14331,Toko Kelontong
1076,14335,Counter pulsa
1077,14340,Toko Kelontong
1078,14342,Warung
1079,14343,Warung
1080,14344,Counter pulsa
1081,14346,Olshop
1082,14350,Toko Kelontong
1083,10753,Cafe
1084,14359,Olshop
1085,14349,Toko Kelontong
1086,14362,Cafe
1087,14363,Toko Kelontong
1088,14309,Toko Kelontong
1089,14364,Toko Kelontong
1090,14365,Warung
